纪元名单完整导出（修正后开局名单）
生成时间: 2026-08-26T12:12:22.387Z

============================================================
2003-04 赛季（2003 纪元）
============================================================

[ATL] 共 15 人
  Shareef Abdur-Rahim | PF | 27岁 | OVR 84
  Glenn Robinson | SF | 31岁 | OVR 83
  Jason Terry | PG | 26岁 | OVR 79
  Theo Ratliff | C | 30岁 | OVR 73
  Boris Diaw | 4 | 21岁 | OVR 73
  Dion Glover | SG | 25岁 | OVR 68
  Ira Newble | SF | 29岁 | OVR 68
  Dan Dickau | PG | 25岁 | OVR 67
  Emanual Davis | SG | 35岁 | OVR 66
  Chris Crawford | PF | 28岁 | OVR 66
  Nazr Mohammed | C | 26岁 | OVR 66
  Alan Henderson | C | 31岁 | OVR 64
  Corey Benjamin | SG | 25岁 | OVR 59
  Matt Maloney | PG | 32岁 | OVR 57
  Amal McCaskill | C | 30岁 | OVR 57

[BKN] 共 15 人
  Jason Kidd | PG | 30岁 | OVR 94
  Dikembe Mutombo | C | 37岁 | OVR 82
  Kerry Kittles | SG | 29岁 | OVR 78
  Kenyon Martin | PF | 26岁 | OVR 78
  Richard Jefferson | SF | 23岁 | OVR 73
  Rodney Rogers | PF | 32岁 | OVR 72
  Lucious Harris | SG | 33岁 | OVR 70
  Aaron Williams | C | 32岁 | OVR 65
  Zoran Planinić | PG | 21岁 | OVR 64
  Anthony Johnson | PG | 29岁 | OVR 63
  Brandon Armstrong | SG | 23岁 | OVR 62
  Jason Collins | C | 25岁 | OVR 62
  Brian Scalabrine | PF | 25岁 | OVR 60
  Chris Childs | PG | 36岁 | OVR 57
  Tamar Slay | SG | 23岁 | OVR 56

[BOS] 共 15 人
  Paul Pierce | SF/SG | 26岁 | OVR 93
  Antoine Walker | PF | 27岁 | OVR 86
  Vin Baker | C | 32岁 | OVR 74
  Eric Williams | SF | 31岁 | OVR 70
  Marcus Banks | 1 | 22岁 | OVR 70
  Kendrick Perkins | 5 | 19岁 | OVR 70
  Troy Bell | 1 | 23岁 | OVR 70
  Dahntay Jones | 2 | 23岁 | OVR 70
  J.R. Bremer | PG | 23岁 | OVR 67
  Tony Delk | PG | 30岁 | OVR 66
  Bimbo Coles | PG | 35岁 | OVR 65
  Mark Blount | C | 28岁 | OVR 63
  Tony Battie | C | 27岁 | OVR 62
  Kedrick Brown | SF | 22岁 | OVR 61
  Walter McCarty | SF | 29岁 | OVR 59

[CHA] 共 12 人  ← 人数偏少，可能有缺失
  Emeka Okafor | PF | 23岁 | OVR 73
  Jason Hart | PG | 27岁 | OVR 72
  Raymond Felton | PG | 19岁 | OVR 71
  Walter Herrmann | PF | 24岁 | OVR 69
  Sean May | PF | 19岁 | OVR 67
  Adam Morrison | PF | 19岁 | OVR 64
  Alan Anderson | SF | 21岁 | OVR 62
  Bernard Robinson | SG | 25岁 | OVR 61
  Cory Alexander | SG | 32岁 | OVR 60
  Theron Smith | SF | 25岁 | OVR 57
  Ryan Hollins | C | 19岁 | OVR 57
